Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Mentions,Media Type
HTZ,"Activist Investors Go Dormant As COVID-19 Depresses Economy
$OXY $CLDR $HTZ $BOX https://t.co/q90W9HVyxF",Benzinga,17/04/2020,3,0,Tweet,0,0,
HTZ,"RT @followtheh : $HTZ Hertz Misses Lease Payment, Prepares for Potential Bankruptcy https://t.co/KUQlbsUgal",Stocktwits,29/04/2020,0,0,Retweet,0,0,photo
HTZ,Hertz Plummets Amid Reports Company Could File For Bankruptcy This Week $HTZ https://t.co/JykrMJ7m23,Benzinga,05/05/2020,5,4,Tweet,0,0,
HTZ,"$C, $HTZ, $WFC, $WRK, $VRAY, $QTT breaking down to new lows https://t.co/QwuvEYCya1",Top Breakout Stocks,06/05/2020,1,2,Tweet,0,0,
HTZ,Big Dropping Breakdowns https://t.co/PKlLlrgswi  $MITT $IVR $HTZ,Top Breakout Stocks,13/05/2020,1,0,Tweet,0,0,
HTZ,NYSE To Delist Bankrupt Hertz: Report https://t.co/UCA60lk5wn $HTZ,Benzinga,26/05/2020,4,1,Tweet,0,0,
HTZ,33 Stocks Moving in Wednesday's Pre-Market Session $GRNQ $CPIX $SFET $HTZ $STNE $ZYNE $PAGS $TSCO $HEI $VIPS $ZOM $TUES $CLRB $MTC $KEYS $PSO $TMDX https://t.co/3dN4qzmeAy,Benzinga,27/05/2020,6,4,Tweet,0,0,
HTZ,28 Stocks Moving in Thursday's Pre-Market Session $ARPO $PHAS $HX $TCCO $TGI $BGFV $AOBC $TOL $WDAY $HTZ $GRNQ $ARNA $IOVA $MRSN $ZOM $HPQ $BCRX https://t.co/bp9772EhWH,Benzinga,28/05/2020,1,4,Tweet,0,0,
HTZ,"This market is so bullish even bankrupt companies are rallying.
$HTZ https://t.co/TPMh0wyay1",Sven Henrich,05/06/2020,3804,951,Tweet,0,0,photo
HTZ,"This market is so bullish even bankrupt companies are rallying.
$HTZ https://t.co/TPMh0wyay1",Sven Henrich,05/06/2020,3804,951,Tweet,0,0,photo
HTZ,33 Stocks Moving in Monday's Pre-Market Session $SPCB $NE $CHK $UXY $XOG $DGLY $MIK $THO $HTZ $OPNT $ASNA $YTRA $TTPH $ADMS https://t.co/qZFGodAgB9,Benzinga,08/06/2020,9,5,Tweet,0,0,
HTZ,"Hertz Stock Jump 115%, Erases Post-Bankruptcy Losses As Travel Revives
$HTZ
https://t.co/kPmVtOavGL https://t.co/oS9C140Ggz",Benzinga,09/06/2020,3,0,Tweet,0,0,photo
HTZ,34 Stocks Moving in Wednesday's Pre-Market Session $TEUM $LAKE $DUO $CLRB $GSUM $FIVE $AMC $CRIS $IMRN $CHK $HTZ $SALT $IMUX $VRNT $CSII $SENS https://t.co/Nc6UFDDcp0,Benzinga,10/06/2020,8,2,Tweet,0,0,
HTZ,"$HTZ buyers hurting.
Bankruptcy is actually bad for equity.
Imagine that. https://t.co/ogghkw355u",Sven Henrich,10/06/2020,469,57,Tweet,0,0,photo
HTZ,"$HTZ buyers hurting.
Bankruptcy is actually bad for equity.
Imagine that. https://t.co/ogghkw355u",Sven Henrich,10/06/2020,469,57,Tweet,0,0,photo
HTZ,40 Stocks Moving in Friday's Pre-Market Session $CTIB $EMAN $HTZ $JFIN $LPTX $KXIN $PLAY $ADBE $WINS $RFIL $DRIO $LULU $OKE $IZEA https://t.co/P7JbnfGQGP,Benzinga,12/06/2020,6,3,Tweet,0,0,
HTZ,"Bankrupt Hertz Wants to Sell Up to $1 Billion in New Shares

$HTZ is up 50% pre-market.
https://t.co/0lMOPIsaKF",Stocktwits,12/06/2020,66,17,Tweet,0,0,
HTZ,"Hertz Wants To Capitalize On Its Stock Rally, Seeks Permission To Sell Up To $1B In Shares
$HTZ
https://t.co/wcCAEzy6x1 https://t.co/SxsFRoARyR",Benzinga,12/06/2020,3,0,Tweet,0,0,animated_gif
HTZ,RT @FusionptCapital : $HTZ https://t.co/u1x0k7AWps,Stocktwits,13/06/2020,0,0,Retweet,0,0,photo
HTZ,25 Stocks Moving in Monday's Pre-Market Session $ISEE $VTVT $BBI $FLDM $WUBA $HTZ $PYX $CVGI $PCG $BTU https://t.co/7jCNCknYdD,Benzinga,15/06/2020,6,6,Tweet,0,0,
HTZ,$HTZ ? 26% pre-market. https://t.co/i3jMSRPbBU,Stocktwits,15/06/2020,49,10,Tweet,0,0,
HTZ,Mad Markets: Hertz warns stock new buyers will need a miracle to avoid a wipeout. Hertz acknowledged that the move to sell the stock while in bankruptcy probably is unprecedented. Hertz previously said that a share sale could raise as much as $1bn in cash. https://t.co/EVFT8XpQxR https://t.co/4761tTTKE5,Holger Zschaepitz,15/06/2020,99,41,Tweet,0,0,photo
HTZ,Mad Markets: Hertz warns stock new buyers will need a miracle to avoid a wipeout. Hertz acknowledged that the move to sell the stock while in bankruptcy probably is unprecedented. Hertz previously said that a share sale could raise as much as $1bn in cash. https://t.co/EVFT8XpQxR https://t.co/4761tTTKE5,Holger Zschaepitz,15/06/2020,99,41,Tweet,0,0,photo
HTZ,"Hertz Allowed To Sell Potentially Worthless Stock By Bankruptcy Court $HTZ
https://t.co/L0VeBDKF2i",Benzinga,15/06/2020,11,8,Tweet,0,0,
HTZ,Zombies are stirring as #Fed creates a monster debt problem. In the most peculiar of developments flowing from Fed’s novel policies was approval by Delaware judge of a plan by Hertz to raise up to $1bn of new equity by selling shares – while in bankruptcy! https://t.co/7BVNkxW4zp https://t.co/DWSNauf2SX,Holger Zschaepitz,16/06/2020,276,138,Tweet,1,0,photo
HTZ,Zombies are stirring as #Fed creates a monster debt problem. In the most peculiar of developments flowing from Fed’s novel policies was approval by Delaware judge of a plan by Hertz to raise up to $1bn of new equity by selling shares – while in bankruptcy! https://t.co/7BVNkxW4zp https://t.co/DWSNauf2SX,Holger Zschaepitz,16/06/2020,276,138,Tweet,1,0,photo
HTZ,"No Shares For You! 
 
$HTZ https://t.co/RvWB8sywjE https://t.co/eP1X1z2oLP",Stocktwits,17/06/2020,104,9,Tweet,0,0,photo
