Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Mentions,Media Type
CCL,"Thanks again for $TSLA and $AMZN ????
https://t.co/skw3k1DLAb

$ROKU $AYRO $NKLA $SAVE $VRM $TRIL $SHOP $BBAR $STNG $GLUU $ZNGA $AAL $CACC $ESE $SPCE $FCEL $TRIP $BYND $MRNA $NOK $OXY $CCL $CRON $RCL $DGLY $HTZ $PENN $GMBL $CRNC $RGR $KTOV $GNUS $BA $FCEL $ZI $Z $ZM $NVDA $GDLC https://t.co/87a8MCdViV",xadabo23,07/09/2020,0,0,Tweet,0,0,photo
CCL,"For best alerts daily, join us!

Discord:
https://t.co/skw3k1DLAb

$DSA $KODK $DOW $GNUS $IDEX $boxl $BIOC $TSLA $TAOP $JFK $CEMI $SPY $TSLA $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $AAPL $ESE $SPCE $FCEL $BYND $MRNA $NOK $OXY $CCL $CRM $DGLY $HTZ $Aapl $GMBL $FB https://t.co/SRv318Soey",xadabo23,07/09/2020,0,0,Tweet,0,0,photo
CCL,"???? PRESIDENT REAGAN $GOLD ????

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $zm $xlf https://t.co/sCyL8paJaV",Sam rothstein,07/09/2020,0,0,Tweet,0,0,video
CCL,"???? PRESIDENT TRUMP $GOLD ????

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $c $zm $xlf https://t.co/1R0qzbQiQ4",Sam rothstein,07/09/2020,0,0,Tweet,0,0,video
CCL,RT @TicTocTick : Free plan ?? $SPX $QQQ $SPY $AAPL $BABA $NFLX $BA $COST $TSLA $SQ $FB $GLD $BAC $MRNA $ZM $PTON $NVAX $NVDA $PYPL $NKLA $AMD $AMZN $MSFT #StockstoWatch #daytrading $SNAP $CCL $DAL $BABA $TWTR $NOK $CSCO $PENN $INTC $ACB $CRON $LUV $INO $NIO $VIX $F $GE $TWTR $RCL $MU $DIS $PLAY https://t.co/5n0sFaH9yY,Akon,07/09/2020,0,0,Retweet,2,0,
CCL,"$CCL [15s. delayed]: Issued Press Release on September 07, 08:00:00: Costa Crociere suspends 2020-2021 season in South America and announces opening of 2021-2022 season sales in the region https://t.co/DQOxthSX8U",Flash Alert,07/09/2020,0,0,Tweet,0,0,
CCL,"$CCL Costa Crociere suspends 2020-2021 season in South America and announces opening of 2021-2022 season sale
From our Stock News Alerts App",$Stocknewsalerts,07/09/2020,0,0,Tweet,0,0,
CCL,"$CUK $CCL Costa Crociere suspends 2020-2021 season in South America and announces opening of 2021-2022 season sales in the region
https://t.co/0kEkgtZcrg",Stock Titan,07/09/2020,0,0,Tweet,0,0,
CCL,$CCL @18.53,Day Trade Machine,07/09/2020,0,0,Tweet,0,1,
CCL,$CUK $CCL Costa Crociere suspends 2020-2021 season in South America and announces opening of 2021-2022 season sales in the region https://t.co/cM8gSsO3Dv,MBP,07/09/2020,0,0,Tweet,0,0,
