Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Mentions,Media Type
WMT,$WMT downgraded to hold from Jefferies. Investment strategy not working to drive higher sales.,Stephanie Link,11/08/2014,0,2,Tweet,0,0,
WMT,$WMT shoppers could benefit from the yuan's weakness http://t.co/aknXpLSqZI,Stephanie Link,24/09/2015,1,1,Tweet,0,0,
WMT,"$WMT, $OAS, $CSCO, $M, $NIO, $AMRN hit new breakout highs  https://t.co/qwCj3iCBfg",Top Breakout Stocks,06/11/2019,0,0,Tweet,0,0,
WMT,"“I think there’s a lot of different synergies there,” TikTok’s interim head Vanessa Pappas says about Walmart. https://t.co/OnBbCE6iro https://t.co/WfSyNCXogz",CNBC,28/08/2020,19,5,Tweet,0,0,video
WMT,"“These big box retailers are just perfectly positioned."" Walmart, Target and other big retailers are seeing sales surge during the pandemic. https://t.co/wveX0bEyEu",NYT Business,19/08/2020,3,0,Tweet,0,0,
WMT,"“We know it’s been a trying year, and you’ve stepped up,” John Furner, the head of Walmart’s U.S. operations said in a memo to employees. “We want you to enjoy the day at home with your loved ones.” https://t.co/JNtytGMgR6",NYT Business,21/07/2020,9,1,Tweet,0,0,
WMT,29 of 30 Dow stocks are oversold with half at 3 standard deviations below their 50-DMAs.  Walmart $WMT the only Dow stock not oversold.  https://t.co/H4p1RcpfIn https://t.co/Q0xRYMX4Dv,Bespoke,10/03/2020,16,15,Tweet,0,0,photo
WMT,"7 New Food Items We Can't Wait To Eat: Shackburger, Big King XL And More $DIN $JACK $K $SHAK $WMT $QSR https://t.co/aHmoooJU35",Benzinga,02/04/2020,1,1,Tweet,0,0,
WMT,A few going against the grain - BMO downgrades $WMT to underweight and Sterne Agee downgrades $NKE to neutral.,Stephanie Link,14/11/2014,1,3,Tweet,0,0,
WMT,A Modern Retail Winner: Wall Street Bullish On Walmart Following Big Q1 $WMT https://t.co/BhBBlCzbKu,Benzinga,20/05/2020,1,0,Tweet,0,0,
WMT,Active stocks breaking out https://t.co/qwCj3iCBfg  $IBIO $TMV $UPS $WMT $BURG,Top Breakout Stocks,18/03/2020,1,1,Tweet,0,0,
WMT,Agree Realty CEO Says Retailers 'Will Not Snap Back' From Coronavirus $ADC $WBA $WMT https://t.co/lat5rQEBMk,Benzinga,24/04/2020,2,2,Tweet,0,0,
WMT,Agree Realty's CEO On Why Real Estate Investors Should Know 'What Distressed Really Means' $ADC $WBA $WMT https://t.co/jJI0k0XYll,Benzinga,24/04/2020,2,0,Tweet,0,0,
WMT,"Albertsons $ACI, Walmart $WMT, Kroger $KR Made Major Announcements This Week: What You Need To Know

https://t.co/RBDFTyqGQu",Benzinga,14/08/2020,6,4,Tweet,0,0,
WMT,Another amazing stat -- just 8 stocks in the S&amp;P 500 aren't up more than 10% since the March 23rd low.  They include $KR $WMT $COST $GILD and $WBA.,Bespoke,07/06/2020,20,2,Reply,0,0,
WMT,"As the coronavirus shutdown ends, the economy won't go back to normal. It will be wearing a mask. https://t.co/CcHDiQUn36 #coronavirus $WMT $SBUX LOW https://t.co/7fStYTLIaL",Investors.com,11/04/2020,17,9,Tweet,1,0,photo
WMT,"BREAKING: WalMart announces vaccine against selling.
$WMT",Sven Henrich,18/08/2020,314,14,Tweet,0,0,
WMT,"BREAKING: WalMart announces vaccine against selling.
$WMT",Sven Henrich,18/08/2020,314,14,Tweet,0,0,
WMT,"Bulls And Bears Of The Week: Carvana, Comcast, Walmart And More https://t.co/z7cHfJGvpy $CVNA $CMCSA $WMT",Benzinga,23/05/2020,1,5,Tweet,0,0,
WMT,"Business leaders are rewriting the rules, finding opportunity &amp; sharing it all at our #CNBCatWork Summit. Join Slack co-founder &amp; CEO, Intel chief people officer, Mondelez chief strategy officer, &amp; top execs from Walmart, Box &amp; more. Register now: https://t.co/1kHV6hXL2H https://t.co/2VcKyL03z0",CNBC,25/08/2020,11,4,Tweet,1,0,photo
WMT,"Claire Babineaux-Fontenot was a senior executive at Walmart. When she asked herself if she would be satisfied if that was the last job she ever had, the answer was clear: ""No."" So she left, and is now C.E.O. of Feeding America.  https://t.co/pa5gpR5bfM",NYT Business,27/06/2020,14,4,Tweet,0,0,
WMT,"Claire Babineaux-Fontenot was a senior executive at Walmart. When she asked herself if she would be satisfied if that was the last job she ever had, the answer was clear: ""No."" So she left, and is now C.E.O. of Feeding America.  https://t.co/V8VOcccJbr",NYT Business,26/06/2020,11,1,Tweet,0,0,
WMT,"Covid-19 is adding pressure to Walmart’s already compressed margins, but investors should look past that https://t.co/wyeavaTHqJ",WSJ Markets,19/05/2020,3,0,Tweet,0,0,
WMT,Cramer: Walmart can't repeat blow out quarter without new coronavirus stimulus from Washington https://t.co/Bla82yRQf5,CNBC,18/08/2020,26,12,Tweet,0,0,
WMT,"Early signs of wage pressure building in the US.  $WMT $SHAK $PHM $VTR

https://t.co/n92bLzHw3A",Stephanie Link,25/11/2015,4,0,Tweet,0,0,
WMT,FedEx’s decision to focus on servicing e-commerce merchants such as Walmart is looking prescient. https://t.co/mrDtalvP9g,WSJ Markets,01/07/2020,4,1,Tweet,0,0,
WMT,Five Stocks Near Buy Points After Bullish Rebounds https://t.co/fbp7ukYjsP by @IBD_GRich $WMT $LULU $COST $BURL $RH https://t.co/7LBI3hQEoa,Investors.com,11/11/2019,13,7,Tweet,0,1,photo
WMT,GS u/g $COST to Conviction Buy &amp; d/g $WMT to neutral. Better growth &amp; eps viz @ COST.,Stephanie Link,29/07/2014,1,4,Tweet,0,0,
WMT,"Here's a link to Walmart's conference call starting at 8 ET. 

$WMT https://t.co/ZOdL1cNLNg",Stocktwits,19/05/2020,13,6,Tweet,0,0,
WMT,"Here's the 5-min Walmart chart. 
 
$WMT ? 3% https://t.co/fS6bEUu6Jg",Stocktwits,27/08/2020,78,16,Tweet,0,0,photo
WMT,Highlight: $WMT to team up with $MSFT on TikTok bid. @danielhowley explains: https://t.co/tsDX41xdIe,Yahoo Finance,27/08/2020,10,1,Tweet,0,1,video
WMT,"Highlight: “The online business is the real juggernaut here. It’s almost doubling and it’s already at scale,” @MoodysInvSvc Vice President &amp; Senior Credit Officer Charlie O’Shea says about $WMT Q2 earnings. Full interview: https://t.co/rh8SoUfGhj",Yahoo Finance,18/08/2020,5,3,Tweet,0,1,video
WMT,"Highlight: IZEA CEO Ted Murphy on a $WMT/$MSFT TikTok sale: ""The idea I can be a marketer and I can market my product directly inside the TikTok app... and have that product delivered in 24 hours r maybe less... that could be a huge competitor for Facebook."" https://t.co/dMTizQtj2g",Yahoo Finance,02/09/2020,13,2,Tweet,0,0,video
WMT,"Home Depot, Lowe's, Walmart and Target reported Q2 results this week. ?? “Earnings season continues amid the pandemic” https://t.co/8gWuSa6ID7",CNBC,19/08/2020,40,11,Tweet,0,0,
WMT,How often do tech titans repeat themselves? How many times will the chief executives fall back on buzzwords and catchphrases?And how frequently will they bring up their rivals (TikTok! Walmart! Each other!) to downplay their companies’ power?https://t.co/90RRqJjMTC,NYT Business,29/07/2020,3,0,Tweet,0,0,
WMT,"IBD Live is on! 

Stocks on the board this morning: $NVDA, $AAPL, $WMT (+ retail stocks in general)

Tune into the live stream here: 
https://t.co/wVo7SpNxC5 

Live questions welcome! #IBDLive",Investors.com,14/11/2019,9,4,Tweet,1,0,
WMT,"IBD Live is on! Tune into the live stream here: https://t.co/wVo7SpNxC5

Stocks on the board this morning: $WMT, $INMD, $RH, $TSLA
 
Live questions welcome! #IBDLive",Investors.com,18/02/2020,2,0,Tweet,1,0,
WMT,"IBD Live is on!

Stocks on the board this morning: $SWKS, $CSCO earnings tonight, $WMT earnings early Thursday.

Tune into the live stream here: 
https://t.co/wVo7SpNxC5 
Live questions welcome! #IBDLive",Investors.com,13/11/2019,5,1,Tweet,1,0,
WMT,If Walmart buys TikTok and becomes tech this will never go down again https://t.co/xFmFP8AG7T,Sven Henrich,27/08/2020,295,34,Tweet,0,0,photo
WMT,If Walmart buys TikTok and becomes tech this will never go down again https://t.co/xFmFP8AG7T,Sven Henrich,27/08/2020,295,34,Tweet,0,0,photo
WMT,"In the latest Corner Office, @nextdoor CEO @thefriley talks about the Troubles, racial profiling and Walmart.  https://t.co/irw3Kam8Pr",NYT Business,13/08/2020,5,1,Tweet,0,2,
WMT,"Like many retailers, Walmart’s online sales during the pandemic have soared, our @mcorkery5 writes. The retailer’s new service, Walmart+, is a bet that customers will be willing to pay a fee for the convenience of having goods delivered to their homes. https://t.co/k0spOh7hyo",NYT Business,01/09/2020,3,0,Tweet,0,1,
WMT,Making Sense Of Walmart's Decision To Close https://t.co/UQYcUna1IT: 'Mission Accomplished' $WMT https://t.co/JbJRBLXImH,Benzinga,21/05/2020,4,1,Tweet,0,0,
WMT,Man wearing only mask and underwear attacks elderly Walmart workers https://t.co/OwXGtqHJV0,Newsweek,08/08/2020,14,13,Tweet,0,0,
WMT,"Microsoft and Walmart look to boost ads, e-commerce with TikTok deal

$WMT ? 3.5% pre-market
https://t.co/XQd0gaI3oC",Stocktwits,28/08/2020,16,6,Tweet,0,0,
WMT,"New for subscribers:  Here are Monday's biggest analyst calls of the day: Walmart, Beyond Meat, Virgin Galactic &amp; more https://t.co/rrt6aeT2Zh Check out @CNBCPro today.",CNBC,31/08/2020,9,4,Tweet,0,1,
WMT,"New highs for $SWN, $WMT, $ATHX, $EQT https://t.co/qwCj3iCBfg",Top Breakout Stocks,09/03/2020,0,0,Tweet,0,0,
WMT,Possibly significant MOFCOM mention of VIE-prohibits $WMT from using VIE to operate online platform for 3rd parties. http://t.co/pv5sBtCZ,MuddyWatersResearch,20/08/2012,0,0,Tweet,0,0,
WMT,"Rather than enticing shoppers into stores with holiday sales, retailers like Walmart and Target recently said they would try to temper the crowds by closing on Thanksgiving Day and putting their best deals online earlier than usual. https://t.co/6TQooOn9GW",NYT Business,03/09/2020,1,3,Tweet,0,0,
WMT,"RT @bluff_capital : $WMT Walmart beats on eps, beats on rev. U.S. Q2 comp sales grew 9.3% and Walmart U.S. eCommerce sales grew 97%. +5.2% pre-market. https://t.co/DdDtn00G8x",Joe Weisenthal,18/08/2020,0,0,Retweet,0,0,photo
WMT,"RT @carlquintanilla : One-year chart of Walmart. 
Whole lotta nothing, then boom.

New high today, up 7%.

$WMT https://t.co/bDtY3RMxVN",Stocktwits,01/09/2020,0,0,Retweet,0,0,photo
WMT,"RT @cnbcevents : Business leaders are rewriting the rules, finding opportunity &amp; sharing it all at our #CNBCatWork Summit. Join @SlackHQ Co-founder &amp; CEO, @intel Chief People Officer, @MDLZ Chief Strategy Officer, plus top execs from Walmart, Box &amp; more. 

Register now: https://t.co/AhOe8rq7Nd https://t.co/tBUu4wehdH",CNBC,20/08/2020,0,0,Retweet,1,3,photo
WMT,RT @CNBCFastMoney : The TikTok saga continues! Walmart is teaming up with Microsoft in a bid for the social media app. $WMT $MSFT https://t.co/e8J2cc6x5b,CNBC,27/08/2020,0,0,Retweet,0,0,video
WMT,RT @CNBCFastMoney : Walmart and Home Depot slipping from all-time highs after a pair of blowout earnings reports. Have the big-box juggernauts peaked? $WMT $HD https://t.co/jsPFOQaXkc,CNBC,18/08/2020,0,0,Retweet,0,0,video
WMT,RT @CNBCnow : Walmart shares leap more than 3% to session high after saying it is joining Microsoft in a bid for TikTok https://t.co/bhA11reaXV https://t.co/4ovst6QAW4,CNBC,27/08/2020,0,0,Retweet,0,0,photo
WMT,"RT @CNBCPro : Here are Monday’s biggest analyst calls of the day: Walmart, Beyond Meat, Virgin Galactic &amp; more https://t.co/Li3oX83uSo",CNBC,31/08/2020,0,0,Retweet,0,0,
WMT,"RT @davidenrich : Wearing a mask is a simple way to help stop Covid's spread. Many stores therefore require them on customers.

But it turns out that @Walmart @Lowes @Walgreens are too scared of triggering customers to actually enforce their own mask rules. @mcorkery5  https://t.co/NVbWIVvoGW",NYT Business,30/07/2020,0,0,Retweet,0,4,
WMT,RT @EddyElfenbein : $WMT is less than 4% from its 52-week high.,Stocktwits,06/04/2020,0,0,Retweet,0,0,
WMT,RT @Grow_mag : Walmart is now offering $5 wine. https://t.co/J2ox7LwMTc,CNBC,18/08/2020,0,0,Retweet,0,0,
WMT,RT @IBD_ANarayanan : Lululemon Leads Five Top Retail #Stocks To Watch Ahead Of Black Friday Sales https://t.co/Cd44V2gFBN $LULU $WMT $COST $TJX $ROST https://t.co/UU6Lcqqyzx,Investors.com,25/11/2019,0,0,Retweet,1,0,photo
WMT,"RT @IBD_ECarson : After Apple and Tesla dominate Monday's stock market action, ultimate Coronavirus play Zoom Video soars on earnings https://t.co/BjvHxEOBdB $AAPL $TSLA $ZM $RXT $MSFT $WMT $AMD https://t.co/n0xdP3VPDw",Investors.com,31/08/2020,0,0,Retweet,0,0,animated_gif
WMT,RT @IBD_ECarson : Apple Warns On Coronavirus; Futures Reverse Lower https://t.co/ag9SOz6qhR $AAPL $TSLA BABA $WMT $INMD $TSM $QCOM $AVGO https://t.co/xteLT8T6i7,Investors.com,18/02/2020,0,0,Retweet,0,0,photo
WMT,RT @IBD_ECarson : Dow futures erase losses as Walmart earnings offset mixed Home Depot results. Several top stocks just above or below buy points. https://t.co/tEi1ci5RtU $WMT $HD $BABA $BBY $AAPL $TSLA https://t.co/aco1W61B1f,Investors.com,19/05/2020,0,0,Retweet,0,0,photo
WMT,"RT @IBDinvestors : IBD Live is on! 

Stocks on the board this morning: $NVDA, $AAPL, $WMT (+ retail stocks in general)

Tune into the live stream here: 
https://t.co/wVo7SpNxC5 

Live questions welcome! #IBDLive",Investors.com,14/11/2019,0,0,Retweet,1,0,
WMT,"RT @JChengWSJ : @Kubota_Yoko Some U.S. companies are still plowing fresh investment dollars into China. Walmart said Wednesday it would invest $425M in Wuhan over five years, while Starbucks said earlier it's investing $125M to build a roasting plant.
@Kubota_Yoko https://t.co/crNbuaTKxL",WSJ Markets,09/04/2020,0,0,Retweet,0,2,
WMT,"RT @LiveSquawk : $WMT | 
- Walmart 4Q Adj. Eps $1.38, Est. $1.44
- Walmart Sees Year EPS $5.00-$5.15, Est. $5.22
- Walmart-Only 4Q U.S. Comp Sales Ex-Fuel Up 1.9%, Est. Up 2.4%",Stocktwits,18/02/2020,0,0,Retweet,0,0,
