Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,,Hashtags,Mentions,Media Type
GILD,"Stocks that are worth more than twice the market cap of #Ethereum 

$BA
$TD
$CAT
$GILD
$BLK
$MMM

Seems like #ETH is still undervalued",FarmBoyProfits,07/09/2020,0,0,Tweet,,2,0,
GILD,"$CYDY $GILD $BCRX $IBIO $SRNE

#cydy #cytodyn #pennystocks #covid19 #leronlimab #remdesivir

https://t.co/OccJIeXpYi",Insider Financial,07/09/2020,0,0,Tweet,,6,0,
GILD,RT @1stOncology : #Kite Submits Supplemental #BiologicsLicenseApplication to U.S. #FDA for #Yescarta® in Relapsed or Refractory #IndolentNonHodgkinLymphomas $GILD https://t.co/fbBjUXcS3N,Joe Gambiste,07/09/2020,0,0,Retweet,,5,0,
GILD,$GILD in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/gXj5LjhhxF #GileadSciences #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/VZulslJ44H,Tickeron,07/09/2020,0,0,Tweet,,10,0,photo
GILD,#Kite Submits Supplemental #BiologicsLicenseApplication to U.S. #FDA for #Yescarta® in Relapsed or Refractory #IndolentNonHodgkinLymphomas $GILD https://t.co/fbBjUXcS3N,1stOncology,07/09/2020,0,1,Tweet,,5,0,
GILD,"RT @simplywallst : $GILD trading at a 33% discount, what is going on here? https://t.co/0cx1ZlL2Tu https://t.co/ARdEdnh8Op https://t.co/2Fpb0RjBv9",axinte costel aurelian,07/09/2020,0,0,Retweet,,0,0,photo
GILD,RT @simplywallst : Our DCF has $GILD available at a 11% discount - why the sale??: https://t.co/S1QTYAMPX8 https://t.co/9Gb29MCu1R https://t.co/3BDIJoWWJt,axinte costel aurelian,07/09/2020,0,0,Retweet,,0,0,photo
GILD,"Gilead Sciences, Inc. $GILD Expected to Post Quarterly Sales of $6.38 Billion https://t.co/ZiOXovbBsk",Zolmax News,07/09/2020,0,0,Tweet,,0,0,
GILD,"Gilead Sciences, Inc. $GILD Expected to Post Quarterly Sales of $6.38 Billion https://t.co/w7qz7nIQ3n",Ticker Report,07/09/2020,0,0,Tweet,,0,0,
GILD,"Gilead Sciences, Inc. $GILD Expected to Post Quarterly Sales of $6.38 Billion https://t.co/QZXNQOzKEi #stocks",US Banking News,07/09/2020,0,0,Tweet,,1,0,
