Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Mentions,Media Type
GILD,"$GILD, $TVIX, $ACHN hit new breakout highs  https://t.co/qwCj3iCBfg",Top Breakout Stocks,28/01/2020,2,0,Tweet,0,0,
GILD,"Trending Tickers BMO 2/25/20

? $SPY +0.46%
??

? $NIO +32%
“Tesla of China” confirms it’s in talks for up to $1.4B in funding.

? $GILD +0.45%
Gilead’s remdesivir drug is undergoing clinic trials in Wuhan.

? $SHAK -15%
Missed on revs, lower guidance.

(ht @jposhaughnessy) https://t.co/l9B59FSAkK",Stocktwits,25/02/2020,21,9,Tweet,0,1,animated_gif
GILD,"RT @Street_Insider : Gilead $GILD to Acquire Forty Seven $FTSV for $4.9 Billion, $95.50/Share in Cash https://t.co/5xdBSXNZ9P https://t.co/Iiqg8GP0GF",Stocktwits,02/03/2020,0,0,Retweet,0,0,photo
GILD,"Stocktwits Trending Tickers 3/13/20 
 
? $GILD +6% 
""remdesivir appeared to have an effect... for the novel coronavirus"" 
 
? $JNUG -16% 
 -87% since Feb. 24  
 
? $RCL +20% 
?? 
 
? $WORK +1% 
EPS &amp; revenue beat",Stocktwits,13/03/2020,20,6,Tweet,0,0,
GILD,"Barron's Picks And Pans: Post-Pandemic Ideas, Safe Dividends And More $AAPL $AMZN $HD $BAC $C $FB $CMCSA $GILD $T https://t.co/bJQtgAOaZO",Benzinga,04/04/2020,7,1,Tweet,0,0,
GILD,Gilead To Donate 1.5M Doses Of Experimental Coronavirus Treatment: 'The Right Thing To Do' $GILD https://t.co/zW19Fdazri,Benzinga,05/04/2020,15,9,Tweet,0,0,
GILD,Gilead Analysts Break Down Remdesivir Data Readout From Compassionate Use $GILD https://t.co/XxbkAW7fsA,Benzinga,13/04/2020,3,0,Tweet,0,0,
GILD,RT @adamfeuerstein : BREAKING: Early peek at data on $GILD #coronavirus drug suggests patients are responding to treatment https://t.co/L2mJ2u8n39 @matthewherper and me on remdesivir severe Covid-19 trial,Stocktwits,16/04/2020,0,0,Retweet,1,1,
GILD,Gilead's Encouraging Remdesivir Data: Rapid Reaction On The Stock $GILD https://t.co/T0M2gLkUoW,Benzinga,16/04/2020,1,1,Tweet,0,0,
GILD,"Big Stocks Moving After Hours As Market Cheers Gilead, 'Reopening' Updates $AAPL $FB $TSLA $GILD https://t.co/a25JOkUDEc",Benzinga,17/04/2020,2,1,Tweet,0,0,
GILD,"Trending on Stocktwits:

Gilead Sciences ? 9% pre-market, but ? 6.5% from last night's after-hours high. 

$GILD https://t.co/xvmP95l8Lk",Stocktwits,17/04/2020,15,5,Tweet,0,0,photo
GILD,"Gilead Analysts Tackle Early Results From Remdesivir Study In COVID-19, Morgan Stanley Says Stock Move Looks Overdone $GILD https://t.co/iYnHqLYUhh",Benzinga,17/04/2020,5,3,Tweet,0,0,
GILD,??.?@GerberKawasaki? Says Tesla Is Pushing Ahead Of Competitors During COVID-19 Pandemic $TSLA $DIS $F $GILD https://t.co/CZ4PEyibEz,Benzinga,17/04/2020,59,13,Tweet,0,1,
GILD,"RT @shanthirex : $BNTX $PFE, $IMUX $MYOV $NVS $GILD $DGX $VBIV

COVID drug/vaccine updates, Myovant's relugolix data, Gilead's oncology partnership and more..

https://t.co/liFAf53yEj",Benzinga,22/04/2020,0,0,Retweet,0,0,
GILD,"Stocks lost some of their momentum in afternoon trading on reports that cast doubt on the effectiveness of remdesivir, the Gilead Sciences drug under investigation as a potential treatment for Covid-19. https://t.co/dLk6I1HOIw",WSJ Markets,23/04/2020,11,5,Tweet,0,0,
GILD,"The Week Ahead In Biotech (April 26-May 2): Cancer Conference, Earnings News Flow In The Spotlight https://t.co/5OAMKx2UAn $IBB $XBI $GILD $UTHR $SNY",Benzinga,26/04/2020,2,0,Tweet,0,0,
GILD,NIAID Study of Remdesivir for Covid-19 Meets Primary Endpoint $GILD,Stocktwits,29/04/2020,44,12,Tweet,0,0,
GILD,Gilead to resume trading at 9 am ET. $GILD https://t.co/r8AZycFkIt,Stocktwits,29/04/2020,35,21,Tweet,0,0,
GILD,Gilead's Remdesivir Reaches Goal In NIAID-Sponsored Coronavirus Trial $GILD  https://t.co/grNyRFgMFb,Benzinga,29/04/2020,5,1,Tweet,0,0,
GILD,"The Dow and S&amp;P 500 opened higher, as investors weighed coronavirus-treatment news from Gilead and looked toward the conclusion of the Fed’s meeting Wednesday https://t.co/PpVAbSP9Aj",WSJ Markets,29/04/2020,4,5,Tweet,0,0,
GILD,"Gilead Reports Q1 Earnings Beat, Anticipates Short-Term Impact From Coronavirus $GILD https://t.co/JXPSZVJJvK",Benzinga,30/04/2020,1,2,Tweet,0,0,
