Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Mentions,Media Type
FB,"End of August top holdings:

$MELI 8%
$TSLA 7%
$AMZN 6%
$NFLX 5%
$MA 5%
$DOCU 5%
$GOOG 4%
$FB 4%
$SQ 4%
$ISRG 3%
$SHOP 3%
$ADBE 3%
$V 3%
$SBUX 2%
$PAYC 2%
$TTD 2%
$BKNG 2%
$EPAM 2%
$APPF 2%
$ADSK 2%

YTD:
Me:      46.4%
S&amp;P:       7.5%
QQQ:   33.9%

Since I changed brokers: https://t.co/SBAgnXmxW9",Brian Feroldi,07/09/2020,9,0,Tweet,0,0,photo
FB,"Most profitable trading community,... https://t.co/2wylju8J0n

$MGI $BRQS $NBEV $LXRX $GLYC $BIMI $SURF $ALRN $ONTX $CLRB $NERV $aapl $tsla $amzn $fb $nflx $amd $msft $spy $baba $nvda $twtr $btc.x $dis $goog $snap $ba $nio $ge $mu $bac $sq $f $googl $ibio $intc $roku https://t.co/9cv414xfNa",Ebony Ryrie,07/09/2020,0,0,Tweet,0,0,photo
FB,@rachels_44 $FB $ALK,SIGTECH,07/09/2020,0,0,Reply,0,1,
FB,"$aapl $evfm $avgr $tsla $srne $nak $opti $xspa $lca $spy $msft $nkla $nio $gaxy $fb $ktov $mark $shll $spaq $mara $ibio $nkla $wkhs $vxrt $snss $idex $cydy  $aal

WE ALERTED $GEVO at $.58 RAN TO $2.18 (275% GAIN!)

Daily Alerts

$15 ONE TIME FEE!
  
BEAT THAT
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,0,Tweet,0,0,
FB,"$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube 

SILVERSKIN - Sayonara (Official Music Video)

WATCH HERE --&gt; https://t.co/plwHBoJxEq https://t.co/XeoSolCfQf",Music News 360,07/09/2020,1,0,Tweet,5,0,photo
FB,"Discord- https://t.co/skw3k1DLAb a better, more executive trading chat room???????????? 
$TSLA Rock on ????????

$UAVS $CETX $DGLY $VTIQ $INPX $DPW $NTEC $AESE $USEG $AYRO $CGC $AKRX $MARK $APRN $DKNG $OCGN $TOPS $XSPA $WISA $DKNG $QQQ $SPY $AMAZ $AAPL $ER
$FB $BB $FL $DE $ZM https://t.co/T6qeHSbg6v",xadabo23,07/09/2020,0,0,Tweet,0,0,photo
FB,"Helped me get my account green all time. Thanks https://t.co/skw3k1DLAb
????????
$SPY $ES $ADBE $AMZN $MSFT $AAL $ROKU $BABA $CRM $GOOGL $FB $INTU $MRVL $ATVI $TWTR $ORCL $LRCX $AMD $NVDA $TSLA $NDX $QQQ $AAPL $BABA $NFLX $ROKU $BA $COST $MCD $WMT $FB $VIX $ES $DKNG $ADBE $TONJ https://t.co/bryP4eW6LI",xadabo23,07/09/2020,0,0,Tweet,0,0,photo
FB,"RT @GoingGreenPicks : $PHBI, huge Cannabis play with only 660,000 shares in the DTC. Last trade .95. See you at 10.00. DD: https://t.co/U10RdG6Wtv $WEED $CGC $MCOA $TLRY $PHVAF $TNYBF $BLDV $MDCL $NSPDF $SPLIF $AMZN $PBIO $TXHD $TAUG $OGI $VFF $FB $T $GE $CANQF $SHMP $DYSFS $ABML $ELYGF $FIT",Beef Ent.,07/09/2020,0,0,Retweet,0,0,
FB,RT @LSValue : Instagram with one click absentee ballet request.  Top of the feed when I opened the app this morning. $FB https://t.co/dslmdIdCK9,Tim Frazier,07/09/2020,0,0,Retweet,0,0,photo
FB,"Waiting for the market to open ??
#1moreday
$tsla $msft $aapl $fb https://t.co/MH7oABt3XG",maxim,07/09/2020,1,0,Tweet,1,0,animated_gif
FB,Instagram with one click absentee ballet request.  Top of the feed when I opened the app this morning. $FB https://t.co/dslmdIdCK9,Long Short Value,07/09/2020,4,1,Tweet,0,0,photo
FB,"For best alerts daily, join us!

Discord:
https://t.co/skw3k1DLAb

$DSA $KODK $DOW $GNUS $IDEX $boxl $BIOC $TSLA $TAOP $JFK $CEMI $SPY $TSLA $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $AAPL $ESE $SPCE $FCEL $BYND $MRNA $NOK $OXY $CCL $CRM $DGLY $HTZ $Aapl $GMBL $FB https://t.co/SRv318Soey",xadabo23,07/09/2020,0,0,Tweet,0,0,photo
FB,"???? PRESIDENT REAGAN $GOLD ????

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $zm $xlf https://t.co/sCyL8paJaV",Sam rothstein,07/09/2020,0,0,Tweet,0,0,video
FB,"???? PRESIDENT TRUMP $GOLD ????

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $c $zm $xlf https://t.co/1R0qzbQiQ4",Sam rothstein,07/09/2020,0,0,Tweet,0,0,video
FB,"??LABOR DAY SALE??
LOCK IN A MONTHLY MEMBERSHIP FOR JUST $129.99/M FOR
Daily Watchlist-Trade Alert-Day &amp; Swing-Transparency
$spy $aapl $fb $zm $googl $shop $amzn $nflx $ba $hd #jointhepro ENDS ON 9/7/20 at 11:59pm est
??JOIN A SERVICE WHERE THEY SHOW BOTH PROFIT &amp; LOSS $tgt $wmt https://t.co/oJN4Nc02iy",Options Tradin Pro,07/09/2020,0,0,Tweet,1,0,photo
FB,RT @TicTocTick : Free plan ?? $SPX $QQQ $SPY $AAPL $BABA $NFLX $BA $COST $TSLA $SQ $FB $GLD $BAC $MRNA $ZM $PTON $NVAX $NVDA $PYPL $NKLA $AMD $AMZN $MSFT #StockstoWatch #daytrading $SNAP $CCL $DAL $BABA $TWTR $NOK $CSCO $PENN $INTC $ACB $CRON $LUV $INO $NIO $VIX $F $GE $TWTR $RCL $MU $DIS $PLAY https://t.co/5n0sFaH9yY,Akon,07/09/2020,0,0,Retweet,2,0,
FB,"RT @jicchamatome : ??
?????????or????(???)
$PLUG(??????) $LVGO $FSLY $RKT(???OK) $AMZN $AAPL $FB ? $GOOG ? $NVDA $AMD $BABA $SQ $TDOC $OKTA ? $ZM ? $APPS $IPHI $POWI $DOCU ? $CRWD ? $EBS $MRNA $BNTX $TSLA $ZI $RPRX ? $TWLO $SHOP $ROKU $HMY $TTD $DKNG $WKHS",??????,07/09/2020,0,0,Retweet,0,0,
FB,@TicTocTick $FB and $NVTA,Halifax explorer,07/09/2020,0,0,Reply,0,1,
FB,"RT @11Graphs : Net debt in billions among largest #stocks $SPX $SPY
1. ???? APPLE INC. $AAPL: 19.7
2. ???? https://t.co/D6MvHgxMPe, INC. $AMZN: -38.26
3. ???? MICROSOFT CORPORATIO. $MSFT: -73.2
4. ???? ALPHABET INC. $GOOGL: -118.12
5. ???? FACEBOOK, INC. $FB: -57.96",sergio teijelo II,07/09/2020,0,0,Retweet,1,0,
