Symbol,Text,Name,Date,Retweets,Language,Tweet Type,Hashtags,Mentions,Media Type
FB,Here's a look at charts of the five FAANG stocks -- $AAPL $AMZN $FB $GOOG $NFLX. https://t.co/wXdfIllKbo,Bespoke,16/03/2020,5,en,Tweet,0,0,photo
FB,"""We are offering $100M in cash grants and ad credits to help during this challenging time."" 
 
$FB  
 
https://t.co/iKATuCV5pp",Stocktwits,17/03/2020,10,en,Tweet,0,0,
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,24/03/2020,0,en,Tweet,0,0,
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,28/03/2020,0,en,Tweet,0,0,
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,02/04/2020,0,en,Tweet,0,0,
FB,Here's How Long It Took Facebook To Reach A $100B Market Cap $FB https://t.co/rOWkU1Gtze,Benzinga,07/04/2020,0,en,Tweet,0,0,
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,08/04/2020,0,en,Tweet,0,0,
FB,"Barron's Picks And Pans: Berkshire Hathaway, Disney, SoftBank And More $NKE $DIS $FB $UBER $BRK.A $CMCSA $RCL $CNP $VZ https://t.co/TiGZ7brhpj",Benzinga,12/04/2020,1,en,Tweet,0,0,
FB,Apple's Stock Will Outperform Other FAANG Stocks In 2020: Munster $AAPL $AMZN $GOOG $NFLX $FB https://t.co/SYKDSUWBDm,Benzinga,13/04/2020,2,en,Tweet,0,0,
FB,Facebook Option Traders Make $1M Bets On Multi-Year Rally $FB https://t.co/IIANeBZjeH,Benzinga,13/04/2020,1,en,Tweet,0,0,
FB,RT @IBD_ECarson : These five stocks just entered buy zones as market rally's wrongs go right; Dow futures steady https://t.co/qC0DP3mkvM #coronavirus $AMZN $MSFT $NVDA $AAPL $FB $GOOGL $VEEV $TDOC $LLY https://t.co/AKTIOdIPrR,Investors.com,15/04/2020,0,en,Retweet,1,0,photo
FB,What do top IPO growth stocks have in common? @EBoboch co-author of #TheLifecycleTrade discusses her research on new stocks like $FB with @IBD_Irusha on the latest #InvestingwithIBD. Watch the full #podcast at https://t.co/zEHLElVYIZ Sponsored by @MarketSmith. #investing https://t.co/L0wVL0vPth,Investors.com,17/04/2020,2,en,Tweet,4,3,video
FB,Facebook Revamps Proposed Cryptocurrency Libra $FB https://t.co/AgEx43G4N5,Benzinga,17/04/2020,2,en,Tweet,0,0,
FB,"‘Tone-Deaf’: Gene Munster Dismisses Goldman's Apple Downgrade, Says Cupertino Has Long-Term Earnings Power $AAPL $AMZN $FB https://t.co/mCf3MkjqZa",Benzinga,17/04/2020,2,en,Tweet,0,0,
FB,"Bulls And Bears Of The Week: Caterpillar, Facebook, Microsoft And More https://t.co/yXVPmRDswK $CAT $FB $MSFT",Benzinga,19/04/2020,3,en,Tweet,0,0,
FB,"What crisis? Total market cap of FANGMAN (Facebook, Amazon, Netflix, Alphabeth, Microsoft, Apple, Nvidia) at $5.53tn, only 7% below ATH of $5.95tn. https://t.co/oST7aC159Q",Holger Zschaepitz,20/04/2020,203,en,Tweet,0,0,photo
FB,RT @carlquintanilla : $FB https://t.co/yfPlUO4TNx,Bespoke,20/04/2020,0,und,Retweet,0,0,
FB,"Making Most Of Lockdowns, Facebook Gaming Launches Earlier Than Planned $FB $MSFT $AMZN $GOOG https://t.co/JGL4FAWn9j",Benzinga,21/04/2020,0,en,Tweet,0,0,
FB,"RT @WSJheard : Facebook is paying $5.7 billion for better connections in its most promising growth market, says @jackycwong
https://t.co/zBl12JjVWq https://t.co/ZeddBfMSjg",WSJ Markets,22/04/2020,0,en,Retweet,0,1,photo
FB,RT @djtgallagher : Facebook buys itself an expensive friend. @jackycwong for @WSJheard - https://t.co/vqNj22tu0p,WSJ Markets,22/04/2020,0,en,Retweet,0,2,
FB,"With NHL Season On Ice, League Launches Esports Challenge: 'Extremely Fun To Watch' $AMZN $EA $FB  https://t.co/w6IEr6mU81",Benzinga,24/04/2020,0,en,Tweet,0,0,
FB,"RT @IBD_ECarson : After Hours: Intel, Google News Hits Futures, These Four Giants https://t.co/2VvsWwCLkX $INTC $GOOGL $GILD $FB $AMD $NVDA $MSFT https://t.co/XpmSjaWTs5",Investors.com,24/04/2020,0,en,Retweet,0,0,photo
FB,Large Facebook Option Trader Betting On Earnings Sell-Off https://t.co/rJIkMNDVur $FB,Benzinga,25/04/2020,2,en,Tweet,0,0,
FB,Here's a look at historical Q1 reports for $AMZN $AAPL $GOOG $FB and $MSFT  https://t.co/CFOs03mPFE via @bespokeinvest,Bespoke,27/04/2020,6,en,Tweet,0,1,
FB,"RT @IBD_ECarson : After Hours: Google, AMD Lead Key Earnings Movers; Futures Rise https://t.co/nAKuGE0dl5 $GOOGL $AMD $MASI $AKAM $DXCM $BA $FB $TSLA $MSFT https://t.co/2sBDRq33K0",Investors.com,28/04/2020,0,en,Retweet,0,0,photo
FB,"RT @IBD_ECarson : Google is fueling futures this morning, in part because it's lifting several other tech titans. $GOOGL $FB $AMZN $MSFT https://t.co/worlFJIV9E",Investors.com,29/04/2020,0,en,Retweet,0,0,
FB,"Here's a snapshot of the largest companies set to report over the next five trading days.  $FB, $MSFT, $QCOM, and $TSLA all on tap for tonight. https://t.co/Kxwnrhoams",Bespoke,29/04/2020,5,en,Tweet,0,0,photo
FB,$FB first move higher. https://t.co/BFUdS8Pqg6,Stocktwits,29/04/2020,8,en,Tweet,0,0,
FB,"Facebook Reports Q1 Sales Beat, Users Up 10% $FB https://t.co/kdBd5FRtHk",Benzinga,29/04/2020,1,en,Tweet,0,0,
