Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Media Type
APPLE,"RT @ScottGottliebMD : NY health authorities appear to me more aggressive in implementing mitigation steps for #COVID19 than Washington State. Since decisions are largely left to local, state authorities; their application is likely to appear uneven until spread becomes more uniform across the nation. https://t.co/LERiqXtYpe",Bespoke,03/03/2020,0,0,1,0,
APPLE,Apple $AAPL $10 off the lows.  $263 up to $273.,Bespoke,09/03/2020,7,2,0,0,
APPLE,"RT @IBD_ECarson : Futures fall sharply after big rally; Apple, Microsoft, Alibaba, Netflix, Vertex flash bullish signal https://t.co/jOOSmA3AGr #coronavirus $AAPL $MSFT $BABA $NFLX $VRTX https://t.co/oUeJV7Csv1",Investors.com,10/03/2020,0,0,1,0,photo
GOOG,"RT @TheCompoundNews : Google is recommending all of its North American employees to work from home 💻🏡 - @Reuters 

https://t.co/IK9vaUF7Zf",Stocktwits,11/03/2020,0,0,0,1,
APPLE,"Mortgage applications, mainly driven by refinancing applications, have surged thanks to lower rates on coronavirus fears: https://t.co/cm6TyxpuK8 https://t.co/TihD1n7AGg",Bespoke,11/03/2020,11,4,0,0,photo
APPLE,"Good morning from #Germany, where the combined market cap of the 30 blue chip companies from the Dax has shrunk to €850bn, lowest since 2014 and less than the market cap of Apple (€1.07tn) or Microsoft (€955bn). https://t.co/uWgX5cLBgT",Holger Zschaepitz,13/03/2020,257,122,1,0,photo
APPLE,"RT @IBD_ECarson : Futures turn higher, erasing sharp overnight losses, after Dow's worst day 1987. Apple, Disney and four other titans also erase losses. But there's a long time before Friday's open and close. https://t.co/fMEqJtvyvT",Investors.com,13/03/2020,0,0,0,0,
GOOG,"Google Says Virus Info Site Will Launch Nationwide on Monday
$GOOGL",Bespoke,15/03/2020,78,39,0,0,
APPLE,"RT @IBD_ECarson : Fed fires everything at bear market, but Dow futures fall sharply as #coronavirus cases soar https://t.co/YYFUyIPxCV #Apple  $AAPL $NKE $MSFT $TSLA $COUP $ZTO https://t.co/cKn62NLjnV",Investors.com,15/03/2020,0,0,2,0,photo
GOOG,Here's a look at charts of the five FAANG stocks -- $AAPL $AMZN $FB $GOOG $NFLX. https://t.co/wXdfIllKbo,Bespoke,16/03/2020,20,5,0,0,photo
APPLE,"RT @AppleHelix : Who would have guessed the most promising antiviral against COVID is a combo of antimalarial+antibacterial??

Negative PCR test by day 5 is IMPRESSIVE!! And this is an oral therapy! https://t.co/5hKtyCn62Q",Bespoke,18/03/2020,0,0,0,0,
APPLE,"Coronavirus crash continues: Citrix stands out; Apple hits resistance, Tesla dives $CTXS $AAPL $TSLA Check out the full episode: https://t.co/EjKcojD5RA https://t.co/t4tbLMTDrX",Investors.com,18/03/2020,12,3,0,0,photo
GOOG,"Initial claims for week ending 3/14 come in at 281k vs 211k prior week.
Our work from Google Trends and ad hoc state reports suggests next week's will hurdle 1 *million*. https://t.co/R2YsivFjjy",Bespoke,19/03/2020,44,35,0,0,photo
GOOG,"RT @bespokeinvest : Initial claims for week ending 3/14 come in at 281k vs 211k prior week.
Our work from Google Trends and ad hoc state reports suggests next week's will hurdle 1 *million*. https://t.co/R2YsivFjjy",Stocktwits,19/03/2020,0,0,0,0,photo
APPLE,RT @IBD_ECarson : Apple leads five relative winners that are absolute losers in the #coronavirus stock market crash https://t.co/mp04zn299K $AAPL $MSFT $AMZN $BABA $NFLX $TSLA https://t.co/vRmoDkwjva,Investors.com,19/03/2020,0,0,1,0,photo
APPLE,Apple Expects Store Re-Openings To Start on a Staggered Basis in First Half Of April. $AAPL,Bespoke,24/03/2020,34,19,0,0,
GOOG,"RT @MorganLBrennan : As we await what's expected to be a record surge in weekly jobless claims this morning

""File for unemployment"" Google search activity chart via @WSJ @PantheonMacro @Google https://t.co/opGXdSc75o",Stocktwits,26/03/2020,0,0,0,3,photo
APPLE,"RT @IBD_ECarson : Dow futures rise with Senate vote due on #coronavirus stimulus deal. Micron rallies late on earnings. Apple, Microsoft, Amazon test resistance https://t.co/gho0QqqAjO $MU $AAPL $AMZN $NVDA $TEAM $MSFT https://t.co/eHXOZ0LhsI",Investors.com,26/03/2020,0,0,1,0,photo
GOOG,"Who knows what to make of this but here are Google searches for ""fever"" last seven days in US, NY, Louisiana. https://t.co/4qjKF21be3 https://t.co/IASHwpIBsg",Bespoke,30/03/2020,6,5,0,0,photo
APPLE,Just tried to type “question” and Apple autocorrect changed it to quarantine. God’s honest truth.,Bespoke,31/03/2020,12,1,0,0,
GOOG,"Google search trends for the new first symptom -- ""loss of smell"" -- over the last 30 days and 7 days in NY state.  Peaked (for now) on 3/23. https://t.co/rkaLzwm23I",Bespoke,01/04/2020,13,5,0,0,photo
GOOG,"Google search trend interest for ""stock market"" and ""how to buy stocks"" reached record highs in March and remains elevated so far this month: https://t.co/WlMLn7CX3x https://t.co/xWSrtXtPMC",Bespoke,03/04/2020,21,16,0,0,photo
APPLE,"Barron's Picks And Pans: Post-Pandemic Ideas, Safe Dividends And More $AAPL $AMZN $HD $BAC $C $FB $CMCSA $GILD $T https://t.co/bJQtgAOaZO",Benzinga,04/04/2020,7,1,0,0,
GOOG,"RT @NateSilver538 : Independently of the hospitalizations data, we see declines of maybe ~40% from peak for Google searches in NYC metro for major COVID-19 symptoms. The data in New York tells a pretty consistent story. https://t.co/JadJaJP9cR",Bespoke,06/04/2020,0,0,0,0,photo
APPLE,Apple's iPhone 9 Launch Could Be Imminent $AAPL https://t.co/pSJWLiRzz4,Benzinga,06/04/2020,4,3,0,0,
GOOG,"Netflix, YouTube, Disney+: Which Video Streaming Platform Do Teens Watch The Most? $AAPL $AMZN $DIS $NFLX $T $GOOG https://t.co/6BTfnSGbYY",Benzinga,08/04/2020,3,1,0,0,
APPLE,"Don‘t mess with the bears. Don’t miss our new @welt Podcast #deffnerundzschaepitz. You can find that on Apple Podcast, Spotify, Google Podcast or wherever good podcasts can be found. @ Berlin, Germany https://t.co/ljgGuU93bn",Holger Zschaepitz,08/04/2020,22,2,1,1,
APPLE,Disney Shares Climb 7% As Video On Demand Service Crosses 50M Subscribers $AAPL $DIS $NFLX https://t.co/VVOfFOD4QN,Benzinga,09/04/2020,1,1,0,0,
APPLE,Apple At A 'Fork In The Road' As Disney+ Reports 50M Subscribers $AAPL $DIS https://t.co/T7jvynhMGX,Benzinga,09/04/2020,1,0,0,0,
APPLE,"Benzinga's Bulls And Bears Of The Week: Apple, Disney, Intel And More $AAPL $DIS $HOG $INTC $TSLA $WBA $JPM $LLY https://t.co/I7seGrSXJ7",Benzinga,11/04/2020,6,6,0,0,
APPLE,Apple's iPhone 9 Launch Could Be Imminent $AAPL https://t.co/XMu2C7mAEu,Benzinga,12/04/2020,2,4,0,0,
APPLE,Apple TV+ At A 'Fork In The Road' As Disney+ Reports 50M Subscribers $AAPL $DIS https://t.co/6k91LoO1bD,Benzinga,12/04/2020,1,1,0,0,
GOOG,Apple's Stock Will Outperform Other FAANG Stocks In 2020: Munster $AAPL $AMZN $GOOG $NFLX $FB https://t.co/SYKDSUWBDm,Benzinga,13/04/2020,5,2,0,0,
APPLE,Apple And Google Team Up To Build Bluetooth Solution To Tackle COVID-19 Pandemic $AAPL $GOOGL https://t.co/O3C7cHaMlm,Benzinga,13/04/2020,3,1,0,0,
APPLE,Apple’s new iPhone SE offers a cheaper entry into the ecosystem that the company needs to grow. https://t.co/1uB2tpY4ng,WSJ Markets,15/04/2020,7,2,0,0,
