Symbol,Text,Name,Date,Retweets,Language,Tweet Type,Hashtags,Mentions,Media Type
MSFT,"?Day+Swing+Options Trade Alerts
?Educational Classes/Mentoring
?Group Events/Competitions
?Watchlists &amp; More!
?~10k members! Join Us!??

https://t.co/AboEyiPQ9g

$LKNCY $OCGN $OBLN $INPX $NOVN $TTOO $ACB $MSFT $AMZN $TNXP $ZNOG $AAL $HTBX $UVXY $KCAC $RETO $DPW $RIOT $DOCU https://t.co/V4JD6ngQFr",TEAM Trading,07/09/2020,0,en,Tweet,0,0,photo
MSFT,Futures are looking bright. $DJI followed by $SPY and then $QQQ. Would not bet against @masason @elonmusk and everyone else. $TSLA $V $AMZN $MSFT,Howard Roark,07/09/2020,0,en,Tweet,0,2,
MSFT,"RT @pennystockplaya : ?? $CMGO ?? 

Millions in settlement money ?? 

$OZSC $TLSS $VYST $BBRW $GAXY $TOPS $TPTW $OPTI $PCTL $AAPL  $CCTL $CTS $HTBX $BOXL $TSLA $MSFT $ABML $ETRF $NAK $PMCB $BRTXQ $HTBX $TRIL $NIO $NKLA $STHC $ATDS $GNUS  $TSOI $ESYL $HEMP $ALYI $BANT $GEVO $AABB $UDHI $GHHC $SHLO https://t.co/95cbWraHQO",AJ,07/09/2020,0,en,Retweet,0,0,photo
MSFT,"RT @EloySnowball : Mañana vuelve la lluvia de dividendos:
?? Martes: $WMT, $JNJ y $SO
?? miércoles: $UNA y $ADM 
?? jueves: $MSFT, $XOM y $CVX
?? viernes: $WBA 
?? sábado: $MMM",Alex G. Ríos F.,07/09/2020,0,es,Retweet,0,0,
MSFT,As Central banks around the world flood the markets with money is Gold at 1900 dollars a better value then Gold at 1300 dollars an ounce .  $GOLD $GLD $QQQ $SQQQ $SPY $UVXY $AAPL $TSLA $MSFT $BGTC $ETHE #mondaythoughts #MondayMorning #LaborDayOn,Lost in Tweets,07/09/2020,0,en,Tweet,3,0,
MSFT,"Most profitable trading community,... https://t.co/2wylju8J0n

$MGI $BRQS $NBEV $LXRX $GLYC $BIMI $SURF $ALRN $ONTX $CLRB $NERV $aapl $tsla $amzn $fb $nflx $amd $msft $spy $baba $nvda $twtr $btc.x $dis $goog $snap $ba $nio $ge $mu $bac $sq $f $googl $ibio $intc $roku https://t.co/9cv414xfNa",Ebony Ryrie,07/09/2020,0,en,Tweet,0,0,photo
MSFT,"$aapl $evfm $avgr $tsla $srne $nak $opti $xspa $lca $spy $msft $nkla $nio $gaxy $fb $ktov $mark $shll $spaq $mara $ibio $nkla $wkhs $vxrt $snss $idex $cydy  $aal

WE ALERTED $GEVO at $.58 RAN TO $2.18 (275% GAIN!)

Daily Alerts

$15 ONE TIME FEE!
  
BEAT THAT
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,und,Tweet,0,0,
MSFT,"$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube 

SILVERSKIN - Sayonara (Official Music Video)

WATCH HERE --&gt; https://t.co/plwHBoJxEq https://t.co/XeoSolCfQf",Music News 360,07/09/2020,0,en,Tweet,5,0,photo
MSFT,"Waiting for the market to open ??
#1moreday
$tsla $msft $aapl $fb https://t.co/MH7oABt3XG",maxim,07/09/2020,0,en,Tweet,1,0,animated_gif
MSFT,RT @denizmustafatr : @YavuzTepetam kendi portfoyum harici pahalilik farketmeyecekse $MSFT $ETSY $POOL $MA $PYPL $CRM $ADBE $HEI $NVR agirliklari bilmiyorum en cok pool mastercard ve paypal alirdim herhalde,Ahmet Y?lmaz,07/09/2020,0,tr,Retweet,0,1,
MSFT,"???? PRESIDENT REAGAN $GOLD ????

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $zm $xlf https://t.co/sCyL8paJaV",Sam rothstein,07/09/2020,0,en,Tweet,0,0,video
MSFT,"???? PRESIDENT TRUMP $GOLD ????

$dxy $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $c $zm $xlf https://t.co/1R0qzbQiQ4",Sam rothstein,07/09/2020,0,en,Tweet,0,0,video
MSFT,RT @TicTocTick : Free plan ?? $SPX $QQQ $SPY $AAPL $BABA $NFLX $BA $COST $TSLA $SQ $FB $GLD $BAC $MRNA $ZM $PTON $NVAX $NVDA $PYPL $NKLA $AMD $AMZN $MSFT #StockstoWatch #daytrading $SNAP $CCL $DAL $BABA $TWTR $NOK $CSCO $PENN $INTC $ACB $CRON $LUV $INO $NIO $VIX $F $GE $TWTR $RCL $MU $DIS $PLAY https://t.co/5n0sFaH9yY,Akon,07/09/2020,0,en,Retweet,2,0,
MSFT,"RT @11Graphs : Net debt in billions among largest #stocks $SPX $SPY
1. ???? APPLE INC. $AAPL: 19.7
2. ???? https://t.co/D6MvHgxMPe, INC. $AMZN: -38.26
3. ???? MICROSOFT CORPORATIO. $MSFT: -73.2
4. ???? ALPHABET INC. $GOOGL: -118.12
5. ???? FACEBOOK, INC. $FB: -57.96",sergio teijelo II,07/09/2020,0,en,Retweet,1,0,
MSFT,"$penn $cydy $rkt $amd $xspa $aal $nio $evfm $idex $dkng $aapl $msft $shll $spaq $srne $tsla $spy $snss $vxrt $uavs $wkhs $ttoo $fb $nkla $ktov $gevo $novn $mara

WE ALERTED $IBIO at $1.45 RAN TO $7.10 (370% GAIN!)

Daily Alerts

$15 ONE TIME FEE
 
BEAT THAT 
????
??LINK IN BIO??",The Right Stock Alerts,07/09/2020,0,en,Tweet,0,0,
MSFT,"RT @OffersForex : $KODK $SNSS $ACHV $ZN $COCP $HBP $AMZN $AAPL $SPY $PINS $NMTR $FB $MSFT $BIOC $KSI $XSPA $NKLA $VISL $TSLA $MARK
Do you want to know how to trade like an expert?
Learn your way to the top with the app 
with FREE Education Package
details from this link https://t.co/tVq0JXaVla https://t.co/2eKX7uVTow",Forex news offers,07/09/2020,0,en,Retweet,0,0,video
MSFT,"Net debt in billions among largest #stocks $SPX $SPY
1. ???? APPLE INC. $AAPL: 19.7
2. ???? https://t.co/D6MvHgxMPe, INC. $AMZN: -38.26
3. ???? MICROSOFT CORPORATIO. $MSFT: -73.2
4. ???? ALPHABET INC. $GOOGL: -118.12
5. ???? FACEBOOK, INC. $FB: -57.96",11Graphs,07/09/2020,1,en,Tweet,1,0,
MSFT,"RT @MetHumet : @Nasdaq Made over $10,000 with a $ZM move on Robinhood. If you sign up on Robinhood they give you 1 random stock free. If you guys want to use my link for the free stock $SPY $MSFT $TSLA  https://t.co/zmGfqjiAAm https://t.co/9l1lAXlvoo",Joe Gambiste,07/09/2020,0,en,Retweet,0,1,photo
MSFT,"???? FED CHAIR GREENSPAN $DXY ????

$gold $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $c $zm https://t.co/qVqXugYXCI",Sam rothstein,07/09/2020,0,en,Tweet,0,0,video
MSFT,"???? FED CHAIR POWELL $DXY ????

$gold $gdx $gld $slv $nem $f $ge $aapl $msft $aal $dis $dal $tsla $ccl $gpro $acb $amzn $plug $bac $nclh $snap $fit $ba $mrna $ual $amd $nio $baba $fb $gbpusd $uber $nflx $cgc $twtr $crl $usdjpy $cron $ko $sbux $race $spce $eurusd $jpm $gs $c $zm https://t.co/UpFlg3JUxu",Sam rothstein,07/09/2020,0,en,Tweet,0,0,video
MSFT,"$AAPL $TSLA $MSFT $SPY $AMZN $NVDA $FB $GOOG $DIS $INO $INTC $BAC $JNJ $SQ $SHOP $WMT $V $HD #music #entertainment #musicvideo #listentothis #youtube 

Rahul Dit-O | Nande | Official Music Video | New Kannada Rap | 2020

WATCH HERE --&gt; https://t.co/GIDL0WNQnk https://t.co/s2n4tHsyAD",Music News 360,07/09/2020,0,en,Tweet,5,0,photo
MSFT,"$KODK $SNSS $ACHV $ZN $COCP $HBP $AMZN $AAPL $SPY $PINS $NMTR $FB $MSFT $BIOC $KSI $XSPA $NKLA $VISL $TSLA $MARK
Do you want to know how to trade like an expert?
Learn your way to the top with the app 
with FREE Education Package
details from this link https://t.co/tVq0JXaVla https://t.co/2eKX7uVTow",Forex news offers,07/09/2020,2,en,Tweet,0,0,video
