Symbol,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions
BKNG,"From the latest $BKNG 10K. 

The average prices $BKNG management have paid for share buybacks pre-covid are almost always above the current price of $1917/sh . https://t.co/b0x2dx5LTU",AR-622 Module Containment Rework Project,07/09/2020,0,Reply,0,0
BKNG,"Agnes projected $BKNG would out-perform the NASDAQ, it outperformed the NASDAQ by 1.37%, Did you outperform the NASDAQ with it? Join Agnes today https://t.co/X1uPpOoTSZ $INV/$ENIX",Enix Blockchain (Automated),07/09/2020,0,Tweet,0,0
BKNG,"$BKNG enters an Uptrend because Momentum Indicator exceeded the 0 level on August 5, 2020. View odds for this and other indicators: https://t.co/XpLusgVdSS #BookingHoldings #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/mpuHKJ2MZ9",Tickeron,07/09/2020,0,Tweet,10,0
BKNG,"RT @vetleforsland : Michael Burry gave up on deep value investing. 

Portfolio: 
35% in $GOOGL calls 
6% in $BKNG calls
7% in $FB calls
7% in $GS and $JPM calls 

Looks like he’s positioning himself for a huge market meltup. The Big Long? https://t.co/jEBkjnstVX",EverybodyandtheirMom,06/09/2020,0,Retweet,0,0
BKNG,"Analog Devices $ADI To Release Details On Acquisition Negotiations With Unnamed NYSE Traded Stock
https://t.co/BnESoqsmxY

$ECPG $MLNX $SHOS $RGNX $HTHT $PRHL $TDS $BGNE $DPLO $INN $NJR $BKNG $KODK",Rumor Murmurs Buzz,06/09/2020,0,Tweet,0,0
BKNG,"#DavisAdvisers largest sales of #Q22020, include #Booking Holdings Inc. $BKNG. Read about it at https://t.co/QkEQH81aUo",TheExtraIncome,06/09/2020,0,Tweet,3,0
BKNG,"$BKNG enters an Uptrend as Momentum Indicator exceeded the 0 level on August 5, 2020. View odds for this and other indicators: https://t.co/culeuYFQUN #BookingHoldings #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/Wt4dSERVWF",Tickeron,06/09/2020,0,Tweet,10,0
BKNG,$BKNG https://t.co/O7hDRpjWf9,John T,06/09/2020,0,Tweet,0,0
BKNG,"$BKNG enters an Uptrend as Momentum Indicator exceeded the 0 level on August 5, 2020. View odds for this and other indicators: https://t.co/n7IjCJOIRL #BookingHoldings #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/6fXrfweGbK",Tickeron,05/09/2020,0,Tweet,10,0
BKNG,251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE! https://t.co/vOtnNaVeBS $M $TJX $SQ $BKNG,Exact Option Picks,04/09/2020,0,Tweet,0,0
BKNG,"The Tech Have &amp; Have Nots.
Here are the winners and losers in the tech wreck.
$UBER $FB $BKNG $AAPL $AMZN $GOOGL https://t.co/VWFIOHQepi",Power Lunch,04/09/2020,0,Tweet,0,0
BKNG,"It's becoming much harder to earn $$ running your own holiday home which could increase the properties professionally managed 

Airbnb has to improve offering to managed properties to increase rural &amp; leisure inventory 

$BKNG $EXPE

https://t.co/f0EKvIzjN7 https://t.co/ml87J6MS1G",In Practise,04/09/2020,0,Tweet,0,0
BKNG,"What a ride! ??????
Join us @telegram 
https://t.co/tkjktlS7iK

$SPY $FB $AMZN $INTC $NFLX $AAPL $SNAP $TWTR $PYPL $EBAY  $MSFT $CMG $AMD $ZG $LYFT $QCOM $UBER $BKNG $SQ $TDOC $TTWO $DPZ $PINS $ROKU $MIK $NBIX $PLUG  $EQIX $CSCO $DIS $HAL $DXCM $ETSY $V $NIO $LRCX $TSLA $SPX $DJI https://t.co/ksJjXwohtC",Stock Whispers,04/09/2020,0,Tweet,0,1
BKNG,$BKNG a beacon to strength today,CP??,04/09/2020,0,Tweet,0,0
BKNG,"Travel stocks and banks are bullet proof so far, no sell-off, even rising. $EXPE $BKNG $C $JPM $BA $DAL $AAL $HLT",Alex_85S,04/09/2020,0,Tweet,0,0
BKNG,"$BKNG in some 1855 puts, small position",Lichartin,04/09/2020,0,Tweet,0,0
BKNG,"EOP Option Trade of the Day - https://t.co/dKIFbpc8s0

$MU $BTC $MSFT $FB $NVDA $BYND $TWLO $BKNG $AMZN $GOOGL $BIDU $BABA $DIS $AAPL $GS $TSLA $NFLX $AMD $BA $CRM $LULU $ROKU",Exact Option Picks,04/09/2020,0,Tweet,0,0
BKNG,"RT @Alex_85S : @MarketFollows but nobody cares, I picked $BKNG to play the sell off and seems that I will get burned.",Joe Gambiste,04/09/2020,0,Retweet,0,1
BKNG,"@MarketFollows but nobody cares, I picked $BKNG to play the sell off and seems that I will get burned.",Alex_85S,04/09/2020,1,Reply,0,1
BKNG,"New post: https://t.co/zpJxKhD6YK

2 notebooks - A look at the 30 stocks in the $DJI  &amp; the top 30 $NDX stocks = 60 charts!

$BKNG $SBUX $TSLA $GOOG $CHTR $CMCSA $FB $NFLX $TMUS $ADBE $AMD $AAPL $CSCO $FISV $INTC $INTU $MSFT $NVDA $PYPL $QCOM $TXN $COST $PEP $AMGN $AVGO $GILD",Grant Hawkridge,04/09/2020,1,Tweet,0,0
BKNG,"$BKNG's price moved above its 50-day Moving Average on August 5, 2020. View odds for this and other indicators: https://t.co/MgQyNCjKrf #BookingHoldings #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/Es9Em96usW",Tickeron,04/09/2020,0,Tweet,10,0
BKNG,"Agnes projected $BKNG would out-perform the NASDAQ, it outperformed the NASDAQ by 1.37%, Did you outperform the NASDAQ with it? Join Agnes today https://t.co/X1uPpOoTSZ $INV/$ENIX",Enix Blockchain (Automated),04/09/2020,0,Tweet,0,0
BKNG,"RT @Stock_Whispers : ???? Alerted yesterday????  

$SPY $FB $AMZN $INTC $NFLX $AAPL $SNAP $TWTR $PYPL $EBAY  $MSFT $CMG $AMD  $TXN $ZG $LYFT $QCOM $UBER $BKNG $WDC $SQ $TDOC $TTWO $DPZ $PINS $NOW $ROKU $CHPK $GILD $MIK $NBIX $PLUG  $EQIX $CSCO $DIS $HAL $DXCM $ETSY $V $NIO $LRCX $TSLA $SPX $DJI https://t.co/eNRJgNPU05",Srivi,04/09/2020,0,Retweet,0,0
BKNG,"RT @vetleforsland : Michael Burry gave up on deep value investing. 

Portfolio: 
35% in $GOOGL calls 
6% in $BKNG calls
7% in $FB calls
7% in $GS and $JPM calls 

Looks like he’s positioning himself for a huge market meltup. The Big Long? https://t.co/jEBkjnstVX",Victoria,04/09/2020,0,Retweet,0,0
BKNG,"Daily Market Analysis 
Team prepared with VIX calls.

1/3 in the Elite Trading Room.  Overall using cash and VIX worked well 

When you are prepared you dont need to chase price action

$AAPL $TSLA $FB $AMD $AMZN  $ROKU  $NVDA $BKNG $BYND  $FSLY $ $TDOC $GOOGL $ZM 
#DayTrading https://t.co/4nDIxsF5xL",eliteoptionsinvestments,04/09/2020,0,Tweet,1,0
BKNG,"@BearingtonTrade $BKNG too?
only -.17% . Close to being 
back to levels where it's like nothin happened lol",Lazer,03/09/2020,0,Reply,0,1
BKNG,Having a trusted team on your side will make all the difference when investing. Have you tried OptionAlarm yet? Free Trials Winning Option Swing Trades Since 2006  $M $TJX $SQ $BKNG,OptionAlarm,03/09/2020,0,Tweet,0,0
BKNG,251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE! https://t.co/4ZmCF61i4h $M $TJX $SQ $BKNG,Exact Option Picks,03/09/2020,0,Tweet,0,0
BKNG,$BKNG https://t.co/Z9cMxCjvUd,Shreef ??,03/09/2020,0,Tweet,0,0
BKNG,Booking Holdings CEO says vaccine is needed for people to feel safe to travel again $BKNG https://t.co/hc0On3IHAh $SPY,Market Follows,03/09/2020,0,Tweet,0,0
BKNG,"$BKNG Dark Cloud Cover
Daily appearances since 2010: 105
Close 5 days later ±:
Avg: 3.81
SD: 40.54
Worst: -132.05
Best: 122.97

10 days later:
Avg: 4.91
SD: 56.37
Worst: -189.03
Best: 216.96

30 days later:
Avg: 29.39
SD: 84.04
Worst: -188.70
Best: 214.35",Candlestick_stats,03/09/2020,0,Tweet,0,0
BKNG,#CONSUMERDISCRETIONARY sector value =  The most overvalued symbol is $DG.  The most undervalued is $BKNG.  Check the link in our bio to see how we get our data.  #SectorSifter #XLY #Alpha #Trading #DayTrading #SwingTrading,alphaDog,03/09/2020,0,Tweet,7,0
BKNG,@WilfredFrost @SaraEisen How is $BKNG approaching all-time highs and their bookings are down by 91%? This stock should be down at least  40$. Who is buying this crap?,Banco de Barstool,03/09/2020,0,Tweet,0,2
BKNG,$BKNG CEO on #CNBC right now,CÆTUS,03/09/2020,0,Tweet,1,0
