Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Mentions,Media Type
DJI,Dow Jones hit fresh ATH as Trump signs 'phase one' trade deal w/China. https://t.co/o324dRK9tX https://t.co/qbSP5L2y25,Holger Zschaepitz,15/01/2020,55,24,Tweet,0,0,photo
DJI,Dow Jones hit fresh ATH as Trump signs 'phase one' trade deal w/China. https://t.co/o324dRK9tX https://t.co/qbSP5L2y25,Holger Zschaepitz,15/01/2020,55,24,Tweet,0,0,photo
DJI,"Dow Jones Industrial posts worst day since Oct and turns negative for the year as coronavirus fears grow. US 10y yields plunge to 1.6%, lowest since Oct due to safe-haven rush. https://t.co/7I46juCl3y",Holger Zschaepitz,27/01/2020,146,82,Tweet,0,0,photo
DJI,"Dow Jones Industrial posts worst day since Oct and turns negative for the year as coronavirus fears grow. US 10y yields plunge to 1.6%, lowest since Oct due to safe-haven rush. https://t.co/7I46juCl3y",Holger Zschaepitz,27/01/2020,146,82,Tweet,0,0,photo
DJI,"Good morning from #Germany, where stock mkt is doing much worse than reported. Although Dax has set fresh record this week. But that is b/c it includes dividends as so-called performance index. If it were calculated like the Dow Jones w/o dividends, it would be far from records. https://t.co/2VQqa44AXI",Holger Zschaepitz,15/02/2020,291,121,Tweet,1,0,photo
DJI,"Good morning from #Germany, where stock mkt is doing much worse than reported. Although Dax has set fresh record this week. But that is b/c it includes dividends as so-called performance index. If it were calculated like the Dow Jones w/o dividends, it would be far from records. https://t.co/2VQqa44AXI",Holger Zschaepitz,15/02/2020,291,121,Tweet,1,0,photo
DJI,Dow Jones and US 10y yields sank in tandem amid hunt for safety. Dow dropped &gt;200points while 10y yield down 5bps. https://t.co/sEyPuPJ4cy,Holger Zschaepitz,21/02/2020,71,35,Tweet,0,0,photo
DJI,Dow Jones and US 10y yields sank in tandem amid hunt for safety. Dow dropped &gt;200points while 10y yield down 5bps. https://t.co/sEyPuPJ4cy,Holger Zschaepitz,21/02/2020,71,35,Tweet,0,0,photo
DJI,"RT @PowerLunch : Markets selling off &amp; things are looking grim, but @bespokeinvest is looking at the glass half full.
Paul Hickey explains why we could see markets bounce back.
$DJIA $SPX https://t.co/qpejA1Ybrv",Bespoke,24/02/2020,0,0,Retweet,0,1,video
DJI,"Ouch! Dow Jones plunges &gt;1000points and US 10y yields drop to 1.36% as a rise in Coronavirus cases outside China (notably in Korea &amp; Italy) weighs on risk appetite, and has conspired to bring Dow back to -2% ytd. https://t.co/UUY5UE1YWW",Holger Zschaepitz,24/02/2020,169,95,Tweet,0,0,photo
DJI,"Ouch! Dow Jones plunges &gt;1000points and US 10y yields drop to 1.36% as a rise in Coronavirus cases outside China (notably in Korea &amp; Italy) weighs on risk appetite, and has conspired to bring Dow back to -2% ytd. https://t.co/UUY5UE1YWW",Holger Zschaepitz,24/02/2020,169,95,Tweet,0,0,photo
DJI,Stocks fall as virus volatility grips Wall St. Dow Jones Industrial dropped another 123 points as the virus spreads throughout the world. US 10y yields hit fresh low. US Oil WTI falls &lt;$50/bbl to the lowest level since Jan2019. #Bitcoin plunges &lt;$9k. https://t.co/AJOeRNBvY5,Holger Zschaepitz,26/02/2020,87,57,Tweet,1,0,photo
DJI,Stocks fall as virus volatility grips Wall St. Dow Jones Industrial dropped another 123 points as the virus spreads throughout the world. US 10y yields hit fresh low. US Oil WTI falls &lt;$50/bbl to the lowest level since Jan2019. #Bitcoin plunges &lt;$9k. https://t.co/AJOeRNBvY5,Holger Zschaepitz,26/02/2020,87,57,Tweet,1,0,photo
DJI,"Dow Jones plunges &gt;600points, down now 10.8% from ATH as market enters correction territory. https://t.co/RhFtAq06Wr",Holger Zschaepitz,27/02/2020,225,134,Tweet,0,0,photo
DJI,"Dow Jones plunges &gt;600points, down now 10.8% from ATH as market enters correction territory. https://t.co/RhFtAq06Wr",Holger Zschaepitz,27/02/2020,225,134,Tweet,0,0,photo
DJI,Dow Jones pares losses but nevertheless falls 350 points to cap the worst week for Wall Street since the financial crisis. https://t.co/jzONJhrUZH https://t.co/9JbfG0N6ya,Holger Zschaepitz,28/02/2020,53,38,Tweet,0,0,photo
DJI,Dow Jones pares losses but nevertheless falls 350 points to cap the worst week for Wall Street since the financial crisis. https://t.co/jzONJhrUZH https://t.co/9JbfG0N6ya,Holger Zschaepitz,28/02/2020,53,38,Tweet,0,0,photo
DJI,Central Bankers to the rescue: Dow Jones jumps &gt;2% as G7 FinMins and Central banker plan call Tuesday to weigh virus response. https://t.co/lupWr9kw9m,Holger Zschaepitz,02/03/2020,92,55,Tweet,0,0,photo
DJI,Central Bankers to the rescue: Dow Jones jumps &gt;2% as G7 FinMins and Central banker plan call Tuesday to weigh virus response. https://t.co/lupWr9kw9m,Holger Zschaepitz,02/03/2020,92,55,Tweet,0,0,photo
DJI,"Mad markets. Wall St jumps, w/ Dow Jones up 1,293.96 points &gt;5.1%, biggest percentage gain since 2009, fueled by hopes central banks will act in concert to offset any impact from the spreading coronavirus. https://t.co/Ho7vVwxmLw",Holger Zschaepitz,02/03/2020,237,126,Tweet,0,0,photo
DJI,"Mad markets. Wall St jumps, w/ Dow Jones up 1,293.96 points &gt;5.1%, biggest percentage gain since 2009, fueled by hopes central banks will act in concert to offset any impact from the spreading coronavirus. https://t.co/Ho7vVwxmLw",Holger Zschaepitz,02/03/2020,237,126,Tweet,0,0,photo
DJI,"Dow Jones jumps on Fed emergency cut. Fed cuts benchmark rate by 50bps to 1.25%, says virus poses evolving risks. https://t.co/b17MMawxG6",Holger Zschaepitz,03/03/2020,131,90,Tweet,0,0,photo
DJI,"Dow Jones jumps on Fed emergency cut. Fed cuts benchmark rate by 50bps to 1.25%, says virus poses evolving risks. https://t.co/b17MMawxG6",Holger Zschaepitz,03/03/2020,131,90,Tweet,0,0,photo
DJI,"Dow Jones closes down almost 800 points, as investors worried the Fed's emergency cut won’t be enough to combat the economic impact of the coronavirus. US 10y yield drops &lt;1% for first time. https://t.co/PQgxAmskQQ",Holger Zschaepitz,03/03/2020,97,53,Tweet,0,0,photo
DJI,"Dow Jones closes down almost 800 points, as investors worried the Fed's emergency cut won’t be enough to combat the economic impact of the coronavirus. US 10y yield drops &lt;1% for first time. https://t.co/PQgxAmskQQ",Holger Zschaepitz,03/03/2020,97,53,Tweet,0,0,photo
DJI,Dow Jones plunged almost 800 points and US 10y yields dropped below 1% for first time ever after Fed hit the panic button with 50 bps Fed Funds cut.  https://t.co/vupEUKtsEa via @welt https://t.co/n7vgysIpzF,Holger Zschaepitz,03/03/2020,97,48,Tweet,0,1,photo
DJI,Dow Jones plunged almost 800 points and US 10y yields dropped below 1% for first time ever after Fed hit the panic button with 50 bps Fed Funds cut.  https://t.co/vupEUKtsEa via @welt https://t.co/n7vgysIpzF,Holger Zschaepitz,03/03/2020,97,48,Tweet,0,1,photo
DJI,"The end of the Efficient Market Hypothesis? Dow Jones jumps &gt;700 points after yd’s &gt;2,000 plunge, Fri’s 256 point drop, Thu’s 969 point drop and Wed’s 1,173 point jump. https://t.co/JediRSa6Rb",Holger Zschaepitz,10/03/2020,152,59,Tweet,0,0,photo
DJI,"The end of the Efficient Market Hypothesis? Dow Jones jumps &gt;700 points after yd’s &gt;2,000 plunge, Fri’s 256 point drop, Thu’s 969 point drop and Wed’s 1,173 point jump. https://t.co/JediRSa6Rb",Holger Zschaepitz,10/03/2020,152,59,Tweet,0,0,photo
DJI,Dow Jones plunges 5% after WHO called the coronavirus spread a pandemic and the Trump administration remained unable to detail any stimulus measures to combat the economic fallout. https://t.co/TeZgWShCZZ,Holger Zschaepitz,11/03/2020,261,156,Tweet,0,0,photo
DJI,Dow Jones plunges 5% after WHO called the coronavirus spread a pandemic and the Trump administration remained unable to detail any stimulus measures to combat the economic fallout. https://t.co/TeZgWShCZZ,Holger Zschaepitz,11/03/2020,261,156,Tweet,0,0,photo
DJI,Boeing is responsible for nearly 17% of the DJIA's entire decline from the highs. $BA https://t.co/2bPwMvwK5A https://t.co/7pflczGpCd,Bespoke,11/03/2020,45,24,Tweet,0,0,photo
DJI,"Dow Jones sinks into bear market. Plunges 5.9%, ends 20% below Feb closing high. https://t.co/3wUnVOCvtf",Holger Zschaepitz,11/03/2020,152,82,Tweet,0,0,photo
DJI,"Dow Jones sinks into bear market. Plunges 5.9%, ends 20% below Feb closing high. https://t.co/3wUnVOCvtf",Holger Zschaepitz,11/03/2020,152,82,Tweet,0,0,photo
DJI,Dow Jones plunges 2352.60 points or 10% amid coronavirus fears for its worst day since the 1987 market crash. https://t.co/aRI4o7S4A3 https://t.co/NEqDPGHN98,Holger Zschaepitz,12/03/2020,201,154,Tweet,0,0,photo
DJI,Dow Jones plunges 2352.60 points or 10% amid coronavirus fears for its worst day since the 1987 market crash. https://t.co/aRI4o7S4A3 https://t.co/NEqDPGHN98,Holger Zschaepitz,12/03/2020,201,154,Tweet,0,0,photo
DJI,"Dow Jones plunges 3,000 points or 13% in worst rout since 1987 crash as coronavirus market collapse continues. Ends at lowest level since 2017 as Wall St fears mount that virus will tip US economy into recession. https://t.co/FPC9e7Ozew",Holger Zschaepitz,16/03/2020,338,257,Tweet,0,0,photo
DJI,"Dow Jones plunges 3,000 points or 13% in worst rout since 1987 crash as coronavirus market collapse continues. Ends at lowest level since 2017 as Wall St fears mount that virus will tip US economy into recession. https://t.co/FPC9e7Ozew",Holger Zschaepitz,16/03/2020,338,257,Tweet,0,0,photo
DJI,"Dow Jones rebounds more &gt;1,000 points as Trump seeks $1tn in stimulus for coronavirus fight. https://t.co/rIpBfs48js https://t.co/wHMnoYOG5a",Holger Zschaepitz,17/03/2020,91,45,Tweet,0,0,photo
DJI,"Dow Jones rebounds more &gt;1,000 points as Trump seeks $1tn in stimulus for coronavirus fight. https://t.co/rIpBfs48js https://t.co/wHMnoYOG5a",Holger Zschaepitz,17/03/2020,91,45,Tweet,0,0,photo
DJI,"Dow Jones pares some losses but closed down 1338.5 points or 6.3% below 20k for first time since 2017. Fell as much as 2319.92 points or 10.9% at one point, before a late-session bounce trimmed the decline. https://t.co/qOQjxKNcWL",Holger Zschaepitz,18/03/2020,117,68,Tweet,0,0,photo
DJI,"Dow Jones pares some losses but closed down 1338.5 points or 6.3% below 20k for first time since 2017. Fell as much as 2319.92 points or 10.9% at one point, before a late-session bounce trimmed the decline. https://t.co/qOQjxKNcWL",Holger Zschaepitz,18/03/2020,117,68,Tweet,0,0,photo
