Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Mentions,Media Type
SPY,"RT @tpetruno : If you aren't making money in US stocks this year you may well be the unluckiest person on Earth.

YTD:

Nasdaq +26.4%
S&amp;P 500 +22.3
Dow utilities +21.7
S&amp;P midcap +19.3
Russell 2000 +17.8
Dow 30 +17.2
Dow transports +17.1
NYSE composite +16.9
S&amp;P smallcap +16.0

(not incl divs)",Wu-Tang Financial ??,01/11/2019,0,0,Retweet,0,0,
SPY,Whether a coincidence or not: US Benchmark Index S&amp;P 500 has stopped the 6-week rally and dropped 0.33% this week as Fed Balance sheet has shrank  for the first time in 12 weeks. https://t.co/DAdf2jsOho,Holger Zschaepitz,24/11/2019,382,168,Tweet,0,0,photo
SPY,"Is M&amp;A dealfest a sign of irrational exuberance? BBG‘s Crise thinks not. Annual volume of M&amp;A deals remains on pace to hit ATH by yr-end, at least in US. But when adjusted for mkt cap, deal volume through end of Q3 only equal to 2.7% of S&amp;P market cap, &lt;4.5% ahead of GFC in 2007. https://t.co/OQ9Yv9gDLl",Holger Zschaepitz,25/11/2019,36,20,Tweet,0,0,photo
SPY,"Global stocks drop after US President Trump signed a bill backing Hong Kong protesters, dents optimistic mood. S&amp;P 500 had risen 0.4% ahead of Thanksgiving holiday break. Bonds drop w/US 10y yield at 1.77%, Japan's 10y yield at -0.1%. Euro back &gt;$1.10. Gold at 1457, Bitcoin $7.5k https://t.co/QVd8xAPJSZ",Holger Zschaepitz,28/11/2019,93,61,Tweet,0,0,photo
SPY,S&amp;P 500 has gained almost 1% this week as Fed has resumed their balance sheet expansion. https://t.co/aYxxUhEtaJ,Holger Zschaepitz,30/11/2019,178,106,Tweet,0,0,photo
SPY,"Down years in the S&amp;P 500 are rare: Since 1979, S&amp;P 500 has experienced 31yrs of pos returns, and just 10yrs of neg returns, RBC has calculates. In only 4 instances annual calendar losses &gt; -10% in magnitude, all associated w/ Tech bubble or GFC. Most down yrs in 0 to -10% range. https://t.co/7d8zimLcvI",Holger Zschaepitz,30/11/2019,226,146,Tweet,0,0,photo
SPY,"Deutsche Bank has turned neutral on US stock market for 1st time in a decade as US mkts may have got ahead of themselves. Sees S&amp;P 500 at 3,250 at end-2020, same as end-2019 target, reflecting modest (+6%) in corp earnings &amp; modest decline in multiple (to around 18.5 from 19.1). https://t.co/Ak6kwAUqLe",Holger Zschaepitz,03/12/2019,85,51,Tweet,0,0,photo
SPY,Ouch! S&amp;P Future falls after Trump damps hopes of imminent trade deal. Says it might be better to wait until 2020 election for China trade deal. https://t.co/whyeQIRDBn,Holger Zschaepitz,03/12/2019,238,128,Tweet,0,0,photo
SPY,S&amp;P Future jumps after blockbuster US jobs report. https://t.co/LlhOoDL2EJ,Holger Zschaepitz,06/12/2019,81,51,Tweet,0,0,photo
SPY,"Mind the gap: S&amp;P 500 Financials hit highest close since June 2007, months before GFC took hold while EuroStoxx Banks still trade near the GFC lows. https://t.co/PJURz28ui3",Holger Zschaepitz,06/12/2019,253,147,Tweet,0,0,photo
SPY,"What felt like a jarring year for stocks was anything but: The S&amp;P 500 climbed on 58.9% of the days, an almost unheard of proportion. Year set for highest share of daily stock gains since 1995. https://t.co/Ap8ViCCTIC https://t.co/KlLhuBvg6r",Holger Zschaepitz,07/12/2019,39,24,Tweet,0,0,photo
SPY,Latest S&amp;P 500 rally was rescued this week by fresh liquidity injection (Fed+ECB) and a very strong Payrolls report. https://t.co/4kQSXFzUDI,Holger Zschaepitz,07/12/2019,239,102,Tweet,0,0,photo
